Name,Values
Marco V,"['latin christian', 'latin worship', 'rock cristiano']"
Will Rees,[]
Sisko Electrofanatik,['deep minimal techno']
tyDi,"['australian dance', 'edm', 'pop dance', 'pop edm', 'progressive house', 'trance', 'uplifting trance']"
Scorz,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
LöKii,[]
Hodel,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
Antillas feat. Fiora,[]
SWACQ,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Gabriel & Dresden feat. Molly Bancroft,[]
Hailee Steinfeld,"['dance pop', 'pop', 'post-teen pop']"
Kristina Sky,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Magava,['filmi']
Blasterjaxx,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'slap house']"
Phunk Investigation,[]
The Chain Gang Of 1974,"['chillwave', 'indie poptimism', 'shimmer pop']"
Alex Sonata & TheRio,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Torio,"['alternative r&b', 'chill r&b', 'indie r&b']"
Answer42,['progressive trance house']
Nikhil Prakash,['progressive trance']
Bryen,"['hip hop', 'rap']"
Dada Life,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
Ross Parker,[]
Alex Morelli,[]
Raisell,"['dance pop', 'pop']"
Adam Szabo,['progressive uplifting trance']
ID,"['alt z', 'pop']"
Benny Goodman Sextet,"['adult standards', 'big band', 'jazz', 'jazz clarinet', 'lounge', 'stride', 'swing', 'vintage jazz', 'vocal jazz']"
Matt Hardwick,[]
Dave Gahan,"['alternative dance', 'new romantic', 'new wave', 'synthpop']"
Andain,"['progressive house', 'trance', 'uplifting trance', 'vocal trance']"
00Zicky,['italian techno']
Archie Bell & The Drells,"['classic soul', 'disco', 'funk', 'motown', 'northern soul', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']"
Ross Quinn,[]
Syreeta,"['classic soul', 'funk', 'motown', 'psychedelic soul', 'quiet storm', 'rock keyboard', 'soul', 'southern soul']"
Daniel Skyver,"['progressive house', 'trance', 'uplifting trance', 'vocal trance']"
SLANDER,"['dubstep', 'edm', 'pop dance']"
Jerge,"['grunge', 'permanent wave', 'rock']"
Paolo Nutini,"['british soul', 'neo mellow', 'scottish singer-songwriter']"
Norid & Rad,"['chillhop', 'lo-fi beats', 'lo-fi rap', 'sad lo-fi']"
Elton John,"['glam rock', 'mellow gold', 'piano rock']"
DRYM,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'r&b', 'trap', 'trap soul']"
Benya,[]
Mason,"['contemporary country', 'country']"
Alexander Turok,"['progressive uplifting trance', 'russian trance']"
Lee Haslam,"['hard house', 'hard trance']"
H.E.R.,"['alternative r&b', 'dance pop', 'pop', 'r&b']"
Mike Saint-Jules,[]
StoryTeller,['anime']
Miss Kittin,"['alternative dance', 'electra', 'electroclash', 'electronica', 'electropop', 'french techno', 'new rave']"
Florence + The Machine,"['baroque pop', 'pop', 'uk alternative pop']"
NIKI,"['indonesian r&b', 'pop']"
Milkwish,"['deep groove house', 'house', 'pop edm']"
Speed Limits,"['emo rap', 'pop rap', 'sad lo-fi', 'sad rap']"
Maywave,['progressive trance']
Pat Lok,"['filter house', 'indie soul', 'nu disco']"
NOYSE,"['gangster rap', 'hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
Nic Toms,[]
Gustav Holst,"['british modern classical', 'classical', 'post-romantic era']"
Z.Tao,"['chinese electropop', 'chinese idol pop', 'mandopop']"
Felon,[]
MARC BAZ,[]
Psymbionic,['glitch hop']
Solarstone,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Taxigirl,['deep progressive trance']
Dave Horne,['progressive trance house']
Dosem,['progressive house']
Lecrae,"['christian hip hop', 'christian trap']"
Lafa Taylor,"['bass music', 'breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']"
Chet Faker,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']"
Tommy Trash,"['dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
Binary Finary,"['acid trance', 'bubble trance', 'progressive house', 'trance', 'uplifting trance']"
F D A,"['alternative r&b', 'funk', 'hip hop', 'indie soul', 'neo soul', 'soul']"
Johnny Norberg,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'tin pan alley', 'vocal jazz']"
DIPNOI,['video game music']
Vincenzo,[]
Josh Ferrin,[]
DJ Galaxie,"['chillhop', 'german boom bap', 'jazz boom bap', 'lo-fi jazzhop']"
Ennio Morricone,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'soundtrack', 'vintage italian soundtrack']"
Charlie Daniels,"['contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']"
One Day Hero,[]
A-P-M Productions,[]
Quinn XCII,"['electropop', 'indie pop rap', 'pop', 'pop rap']"
Andrew Bayer,"['dubstep', 'edm', 'electro house', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive trance']"
Jess Glynne,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']"
Mark Pledger,[]
Adapter,[]
High 5,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
Ben Böhmer,[]
Jamie Matrix,"['art pop', 'bay area indie', 'chillwave', 'freak folk', 'indie rock', 'indie surf', 'noise pop']"
Sergei Prokofiev,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
Kinética,['uplifting trance']
Young Parisians,[]
Energy 52,"['bubble trance', 'german techno', 'trance']"
Underworld,"['dark trap', 'sad lo-fi']"
Jenaux,"['edm', 'electro house', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
Filo & Peri,"['progressive house', 'trance', 'uplifting trance']"
Theophilus London,"['chicago rap', 'rap']"
Avao,['progressive trance']
Henry Mancini,"['adult standards', 'classic soundtrack', 'easy listening', 'lounge', 'vocal jazz']"
Kudus,[]
e11even11music,[]
Michael Retouch,"['progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']"
Edgar Winter,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'soft rock']"
Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
Elliphant,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Yellow Claw,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop dance']"
Northling,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Temper Trap,"['alternative dance', 'australian indie', 'indie rock', 'modern rock', 'pop rock']"
Prox,"['metalcore', 'screamo']"
Project 46,"['edm', 'electro house', 'pop dance', 'progressive house', 'tropical house', 'vocal house']"
Bitter:Sweet,"['alternative rock', 'britpop', 'permanent wave', 'pop rock', 'rock', 'shoegaze']"
Maria Healy,['tech trance']
Madison,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
Day Din,"['contemporary country', 'country', 'country dawn', 'country road']"
Jeremy Olander,"['progressive electro house', 'progressive house', 'swedish electronic', 'tech house']"
NOFX,"['punk', 'skate punk', 'socal pop punk']"
Jamie Walker,"['broadway', 'hollywood', 'show tunes', 'west end']"
Gareth Emery feat. Brute Force,"['edm', 'pop dance', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Aelyn,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
Wrechiski,"['progressive house', 'progressive trance']"
Breakfast,['pop rock']
Swae Lee,"['dfw rap', 'melodic rap', 'rap']"
"""Cookin On 3 Burners""","['edm', 'new french touch', 'pop dance', 'tropical house']"
Sub Zero Project,"['euphoric hardstyle', 'rawstyle']"
Vacuum Cleaner White Noise,['sleep']
Benny Benassi featuring Channing,"['edm', 'electro house', 'pop dance']"
DOMENICO,['classical era']
Miika Kuisma,[]
Solis,[]
Anunnakis,"['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']"
Kokane,"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'rap', 'west coast rap', 'west coast trap']"
Bissen,"['belarusian indie', 'russian post-punk']"
Cascada & The Connells,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'german techno', 'melbourne bounce international', 'pop rap']"
Spooky,"['adult standards', 'brill building pop', 'british invasion', 'folk', 'folk rock', 'mellow gold', 'motown', 'soul']"
The Presets,['industrial pop']
ThoBa,"['contemporary country', 'country', 'country road', 'modern country rock']"
Neil Young with the Santa Monica Flyers,"['baroque pop', 'bubblegrunge', 'cincinnati indie']"
Matthias Vogt,[]
Niniola,"['afropop', 'afroswing', 'uk dancehall']"
The Shooters,"['cali rap', 'detroit trap', 'west coast trap']"
Dusky,"['deep groove house', 'deep house', 'house', 'progressive house']"
Factor B,"['indie folk', 'indie rock', 'modern rock', 'stomp and holler']"
Easton,['red dirt']
Glynn Alan,[]
Leroy Carr,"['acoustic blues', 'barrelhouse piano', 'blues', 'boogie-woogie', 'piano blues', 'traditional blues']"
Getter,"['dark trap', 'underground hip hop']"
Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Alex Wackii,"['italian trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
TJR,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
Aerosoul,"['norwegian hip hop', 'norwegian pop rap']"
Miike Snow,"['alternative dance', 'electropop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']"
Sebastian Weikum,"['polish techno', 'progressive uplifting trance']"
Philippe El Sisi,['vocal trance']
Sheila E.,"['disco', 'freestyle', 'funk', 'minneapolis sound', 'post-disco', 'quiet storm', 'rock drums', 'urban contemporary']"
Pulser,['deep norteno']
Kaveh Azizi,[]
Tom Colontonio,[]
Prok & Fitch,"['deep house', 'house', 'minimal techno', 'tech house', 'techno']"
Diet Cig,"['bubblegrunge', 'indie pop', 'indie punk']"
The HU,"['conscious hip hop', 'funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap', 'west coast rap']"
The Word Alive,"['melodic metalcore', 'metalcore', 'post-screamo', 'screamo', 'trancecore']"
Larry Folk,"['appalachian folk', 'bluegrass', 'bluegrass gospel', 'instrumental bluegrass', 'progressive bluegrass']"
Pauline Herr,"['dubstep', 'future bass', 'gaming dubstep', 'vapor twitch']"
Chicago Loop,[]
Charlie Darker,['electro house']
Lush & Simon,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
Hembree,['kc indie']
Summer Of Space,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
Dataworx,['tech house']
16BL,"['progressive house', 'progressive trance house', 'tech house']"
Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Ad Brown featuring Renee Six,"['progressive house', 'progressive trance', 'progressive trance house', 'trance', 'uplifting trance']"
Flatbush Zombies,"['escape room', 'hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']"
L D R U,['australian dance']
Usher,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
Sophie Sugar,[]
Sagar Dawani,[]
C.O.Z,[]
Stephen J. Kroos,[]
Gramatik,"['downtempo', 'jazz boom bap', 'jazztronica', 'livetronica', 'nu jazz', 'slovenian electronic', 'trip hop']"
Monakhov,[]
Zuubi,"['bossa nova', 'manguebeat', 'mpb', 'samba', 'samba-rock', 'tropicalia']"
Key4050,[]
Luke Terry,[]
Oral Bee,"['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'texas latin rap', 'urban contemporary']"
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']"
Paul Keeley,['progressive house']
Belly,"['art pop', 'electropop', 'pop']"
James Poulton,[]
Planet Funk,"['big beat', 'electronic rock']"
Coming Soon!!!,"['indie pop', 'nashville singer-songwriter']"
Las Salinas,"['healing', 'new age', 'rumba']"
Dash Berlin,"['big room', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance', 'uplifting trance']"
Moogwai,[]
Metro Boomin,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
MatricK,"['australian dance', 'edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Timo Garcia,[]
MitiS,"['chillstep', 'edm', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']"
Paronator,[]
VIZE,"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop']"
Not The Father,"['dark clubbing', 'experimental bass']"
Markus Schulz presents Dakota,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
John Clarcq,[]
Arkham Knights,"['christian hip hop', 'christian trap']"
Joint Operations Centre,['tech trance']
Matteblack,[]
Yoel Lewis,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Classixx,"['ai', 'alternative dance', 'chillwave', 'electropop', 'indietronica', 'new rave']"
Elysian,"['dark trap', 'new orleans rap', 'underground hip hop']"
Undercatt,['italian techno']
Timmo Hendriks,"['edm', 'pop dance', 'pop edm']"
Carrie Underwood,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']"
Black Lips,"['indie garage rock', 'la indie', 'latinx alternative', 'psychedelic soul', 'tropical alternativo']"
Fictivision,[]
Vini Vici,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
Voltaxx,['groove room']
Aron Scott,"['classical', 'post-romantic era']"
Incognet,[]
Vidda Deborras,[]
Thick As Thieves,"['alternative metal', 'nu metal', 'post-grunge']"
Kriess Guyte,[]
MAX,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']"
Main Circus,"['dance pop', 'electropop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Dirty South,"['contemporary country', 'country rap', 'redneck']"
Frank Waanders,"['deep uplifting trance', 'dutch trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
Bryce Vine,"['electropop', 'pop', 'pop rap']"
Angry Man,['uk pop']
2forwOyNE,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
Marc Marzenit,['deep progressive trance']
Nipsey Hussle,"['arabic hip hop', 'francoton', 'french hip hop', 'pop urbaine', 'rap francais']"
Gallya,"['classical', 'classical performance', 'early music', 'early music ensemble', 'musica antigua', 'orchestral performance', 'viola da gamba']"
Andy Jackson,"['christian hip hop', 'christian trap']"
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Ron with Leeds,['german trance']
